CONTRACT_ID|PLAN_ID|SEGMENT_ID|COVERAGE_LEVEL|TIER|DAYS_SUPPLY|COST_TYPE_PREF|COST_AMT_PREF|COST_MIN_AMT_PREF|COST_MAX_AMT_PREF|COST_TYPE_NONPREF|COST_AMT_NONPREF|COST_MIN_AMT_NONPREF|COST_MAX_AMT_NONPREF|COST_TYPE_MAIL_PREF|COST_AMT_MAIL_PREF|COST_MIN_AMT_MAIL_PREF|COST_MAX_AMT_MAIL_PREF|COST_TYPE_MAIL_NONPREF|COST_AMT_MAIL_NONPREF|COST_MIN_AMT_MAIL_NONPREF|COST_MAX_AMT_MAIL_NONPREF|TIER_SPECIALTY_YN|DED_APPLIES_YN
H1001|001|000|0|1|1|1|3.20|||1|4.32|||1|2.72|||1|3.68|||N|N
H1001|001|000|0|1|2|1|9.59|||1|12.95|||1|8.15|||1|11.03|||N|N
H1001|001|000|0|1|4|1|6.39|||1|8.63|||1|5.43|||1|7.35|||N|N
H1001|001|000|0|2|1|1|19.18|||1|25.89|||1|16.30|||1|22.06|||N|N
H1001|001|000|0|2|2|1|57.54|||1|77.68|||1|48.91|||1|66.17|||N|N
H1001|001|000|0|2|4|1|38.36|||1|51.79|||1|32.61|||1|44.12|||N|N
H1001|001|000|0|3|1|1|71.93|||1|97.10|||1|61.14|||1|82.72|||N|Y
H1001|001|000|0|3|2|1|215.78|||1|291.31|||1|183.42|||1|248.15|||N|Y
H1001|001|000|0|3|4|1|143.86|||1|194.21|||1|122.28|||1|165.43|||N|Y
H1001|001|000|0|4|1|1|151.85|||1|204.99|||1|129.07|||1|174.63|||N|Y
H1001|001|000|0|4|2|1|455.54|||1|614.98|||1|387.21|||1|523.88|||N|Y
H1001|001|000|0|4|4|1|303.70|||1|409.99|||1|258.14|||1|349.25|||N|Y
H1001|001|000|0|5|1|2|33.0|191.81|1246.75|2|33.0|258.94|1683.12|2|33.0|163.04|1059.74|2|33.0|220.58|1433.76|Y|Y
H1001|001|000|0|5|2|2|33.0|575.42|3740.26|2|33.0|776.82|5049.35|2|33.0|489.11|3179.22|2|33.0|661.74|4301.29|Y|Y
H1001|001|000|0|5|4|2|33.0|383.62|2493.50|2|33.0|517.88|3366.23|2|33.0|326.07|2119.48|2|33.0|441.16|2867.53|Y|Y
H1001|001|000|1|1|1|1|3.20|||1|4.32|||1|2.72|||1|3.68|||N|N
H1001|001|000|1|1|2|1|9.59|||1|12.95|||1|8.15|||1|11.03|||N|N
H1001|001|000|1|1|4|1|6.39|||1|8.63|||1|5.43|||1|7.35|||N|N
H1001|001|000|1|2|1|1|19.18|||1|25.89|||1|16.30|||1|22.06|||N|N
H1001|001|000|1|2|2|1|57.54|||1|77.68|||1|48.91|||1|66.17|||N|N
H1001|001|000|1|2|4|1|38.36|||1|51.79|||1|32.61|||1|44.12|||N|N
H1001|001|000|1|3|1|1|71.93|||1|97.10|||1|61.14|||1|82.72|||N|Y
H1001|001|000|1|3|2|1|215.78|||1|291.31|||1|183.42|||1|248.15|||N|Y
H1001|001|000|1|3|4|1|143.86|||1|194.21|||1|122.28|||1|165.43|||N|Y
H1001|001|000|1|4|1|1|151.85|||1|204.99|||1|129.07|||1|174.63|||N|Y
H1001|001|000|1|4|2|1|455.54|||1|614.98|||1|387.21|||1|523.88|||N|Y
H1001|001|000|1|4|4|1|303.70|||1|409.99|||1|258.14|||1|349.25|||N|Y
H1001|001|000|1|5|1|2|33.0|191.81|1246.75|2|33.0|258.94|1683.12|2|33.0|163.04|1059.74|2|33.0|220.58|1433.76|Y|Y
H1001|001|000|1|5|2|2|33.0|575.42|3740.26|2|33.0|776.82|5049.35|2|33.0|489.11|3179.22|2|33.0|661.74|4301.29|Y|Y
H1001|001|000|1|5|4|2|33.0|383.62|2493.50|2|33.0|517.88|3366.23|2|33.0|326.07|2119.48|2|33.0|441.16|2867.53|Y|Y
H1001|001|000|3|1|1|1|3.20|||1|4.32|||1|2.72|||1|3.68|||N|N
H1001|001|000|3|1|2|1|9.59|||1|12.95|||1|8.15|||1|11.03|||N|N
